,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
104,22020,1610612759,SAS,San Antonio Spurs,0022000458,2021-05-13,SAS @ NYK,L,240,98,38,91,0.418,6,21,0.286,16,19,0.842,9,38,47,22,4,6,9,16,-4.0
105,22020,1610612759,SAS,San Antonio Spurs,0022001043,2021-05-12,SAS @ BKN,L,242,116,43,101,0.426,8,31,0.258,22,27,0.815,16,30,46,21,7,2,8,19,-12.0
106,22020,1610612759,SAS,San Antonio Spurs,0022001029,2021-05-10,SAS vs. MIL,W,239,146,56,94,0.596,17,29,0.586,17,21,0.81,9,37,46,27,6,5,12,16,21.0
107,22020,1610612759,SAS,San Antonio Spurs,0022001018,2021-05-08,SAS @ POR,L,240,102,37,93,0.398,8,30,0.267,20,23,0.87,7,33,40,17,6,5,7,24,-22.0
108,22020,1610612759,SAS,San Antonio Spurs,0022001011,2021-05-07,SAS @ SAC,W,240,113,46,89,0.517,4,22,0.182,17,19,0.895,7,37,44,20,8,7,13,12,9.0
109,22020,1610612759,SAS,San Antonio Spurs,0022000996,2021-05-05,SAS @ UTA,L,241,94,37,92,0.402,7,23,0.304,13,20,0.65,9,26,35,22,7,5,7,13,-32.0
110,22020,1610612759,SAS,San Antonio Spurs,0022000981,2021-05-03,SAS @ UTA,L,239,99,42,90,0.467,5,18,0.278,10,10,1.0,8,29,37,25,10,4,13,13,-11.0
111,22020,1610612759,SAS,San Antonio Spurs,0022000973,2021-05-02,SAS vs. PHI,L,265,111,43,96,0.448,12,31,0.387,13,17,0.765,10,38,48,20,9,5,13,25,-2.0
112,22020,1610612759,SAS,San Antonio Spurs,0022000950,2021-04-30,SAS @ BOS,L,265,140,49,92,0.533,11,24,0.458,31,38,0.816,8,35,43,29,6,1,11,27,-3.0
113,22020,1610612759,SAS,San Antonio Spurs,0022000938,2021-04-28,SAS @ MIA,L,239,111,41,88,0.466,10,32,0.313,19,24,0.792,7,33,40,26,6,3,9,20,-5.0
114,22020,1610612759,SAS,San Antonio Spurs,0022000919,2021-04-26,SAS @ WAS,W,264,146,55,103,0.534,6,17,0.353,30,35,0.857,13,31,44,27,6,1,6,21,3.0
115,22020,1610612759,SAS,San Antonio Spurs,0022000264,2021-04-24,SAS @ NOP,W,240,110,37,85,0.435,9,31,0.29,27,32,0.844,9,37,46,22,9,8,17,23,2.0
116,22020,1610612759,SAS,San Antonio Spurs,0022000895,2021-04-22,SAS vs. DET,W,240,106,37,80,0.463,11,24,0.458,21,27,0.778,11,32,43,28,12,7,10,19,15.0
117,22020,1610612759,SAS,San Antonio Spurs,0022000888,2021-04-21,SAS vs. MIA,L,240,87,31,77,0.403,10,35,0.286,15,20,0.75,7,31,38,21,1,7,10,15,-20.0
118,22020,1610612759,SAS,San Antonio Spurs,0022000473,2021-04-19,SAS @ IND,W,240,109,36,84,0.429,8,28,0.286,29,35,0.829,9,48,57,27,4,4,12,23,15.0
119,22020,1610612759,SAS,San Antonio Spurs,0022000860,2021-04-17,SAS @ PHX,W,241,111,45,89,0.506,12,29,0.414,9,12,0.75,5,41,46,23,10,9,12,17,26.0
120,22020,1610612759,SAS,San Antonio Spurs,0022000853,2021-04-16,SAS vs. POR,L,240,106,45,95,0.474,7,23,0.304,9,10,0.9,14,35,49,30,7,9,14,14,-1.0
121,22020,1610612759,SAS,San Antonio Spurs,0022000831,2021-04-14,SAS @ TOR,L,240,112,38,89,0.427,17,39,0.436,19,27,0.704,12,29,41,26,6,7,13,19,-5.0
122,22020,1610612759,SAS,San Antonio Spurs,0022000816,2021-04-12,SAS @ ORL,W,241,120,48,93,0.516,10,25,0.4,14,18,0.778,12,35,47,30,6,5,9,26,23.0
123,22020,1610612759,SAS,San Antonio Spurs,0022000810,2021-04-11,SAS @ DAL,W,240,119,45,83,0.542,8,21,0.381,21,27,0.778,10,31,41,20,10,7,14,20,2.0
124,22020,1610612759,SAS,San Antonio Spurs,0022000797,2021-04-09,SAS @ DEN,L,240,119,43,93,0.462,9,27,0.333,24,28,0.857,11,27,38,33,10,2,9,21,-2.0
125,22020,1610612759,SAS,San Antonio Spurs,0022000782,2021-04-07,SAS @ DEN,L,240,96,38,91,0.418,6,24,0.25,14,21,0.667,11,31,42,23,11,4,14,19,-10.0
126,22020,1610612759,SAS,San Antonio Spurs,0022000767,2021-04-05,SAS vs. CLE,L,240,101,35,83,0.422,5,26,0.192,26,32,0.813,8,30,38,22,4,3,10,22,-24.0
