,id,full_name,first_name,last_name,is_active
3611,78014,Tree Rollins,Tree,Rollins,False
3612,78015,Lorenzo Romar,Lorenzo,Romar,False
3613,200765,Rajon Rondo,Rajon,Rondo,True
3614,399,Sean Rooks,Sean,Rooks,False
3615,201565,Derrick Rose,Derrick,Rose,True
3616,147,Jalen Rose,Jalen,Rose,False
3617,990,Malik Rose,Malik,Rose,False
3618,78016,Robert Rose,Robert,Rose,False
3619,78017,Alexander Rosenberg,Alexander,Rosenberg,False
3620,78018,Lennie Rosenbluth,Lennie,Rosenbluth,False
3621,78019,Hank Rosenstein,Hank,Rosenstein,False
3622,78020,Dick Rosenthal,Dick,Rosenthal,False
3623,2624,Quinton Ross,Quinton,Ross,False
3624,203082,Terrence Ross,Terrence,Ross,True
3625,78021,Doug Roth,Doug,Roth,False
3626,78022,Scott Roth,Scott,Roth,False
3627,78023,Irv Rothenberg,Irv,Rothenberg,False
3628,78024,Mickey Rottner,Mickey,Rottner,False
3629,78025,Dan Roundfield,Dan,Roundfield,False
3630,78026,Giff Roux,Giff,Roux,False
3631,78027,Ron Rowan,Ron,Rowan,False
3632,78028,Curtis Rowe,Curtis,Rowe,False
3633,78029,Jim Rowinski,Jim,Rowinski,False
3634,78030,Derrick Rowland,Derrick,Rowland,False
3635,78031,Brian Rowsom,Brian,Rowsom,False
3636,200750,Brandon Roy,Brandon,Roy,False
3637,140,Donald Royal,Donald,Royal,False
3638,78033,Bob Royer,Bob,Royer,False
3639,32,Clifford Rozier,Clifford,Rozier,False
3640,1626179,Terry Rozier,Terry,Rozier,True
3641,201937,Ricky Rubio,Ricky,Rubio,True
3642,2462,Guy Rucker,Guy,Rucker,False
3643,78035,Delaney Rudd,Delaney,Rudd,False
3644,78036,John Rudd,John,Rudd,False
3645,204014,Damjan Rudez,Damjan,Rudez,False
3646,78037,John Rudometkin,John,Rudometkin,False
3647,1913,Michael Ruffin,Michael,Ruffin,False
3648,460,Trevor Ruffin,Trevor,Ruffin,False
3649,78039,Paul Ruffner,Paul,Ruffner,False
3650,78040,Joe Ruklick,Joe,Ruklick,False
3651,78041,Jeff Ruland,Jeff,Ruland,False
3652,78042,Bob Rule,Bob,Rule,False
3653,78043,Jerry Rullo,Jerry,Rullo,False
3654,474,Stefano Rusconi,Stefano,Rusconi,False
3655,201575,Brandon Rush,Brandon,Rush,False
3656,2416,Kareem Rush,Kareem,Rush,False
3657,78049,Bill Russell,Bill,Russell,False
3658,935,Bryon Russell,Bryon,Russell,False
3659,78047,Campy Russell,Campy,Russell,False
3660,78045,Cazzie Russell,Cazzie,Russell,False
3661,1626156,D'Angelo Russell,D'Angelo,Russell,True
3662,78046,Frank Russell,Frank,Russell,False
3663,78048,Walker Russell,Walker,Russell,False
3664,201041,Walker Russell,Walker,Russell,False
3665,1630346,Matt Ryan,Matt,Ryan,True
3666,717,Arvydas Sabonis,Arvydas,Sabonis,False
3667,1627734,Domantas Sabonis,Domantas,Sabonis,True
3668,203135,Robert Sacre,Robert,Sacre,False
3669,78050,Ed Sadowski,Ed,Sadowski,False
3670,78051,Kenny Sailors,Kenny,Sailors,False
3671,927,John Salley,John,Salley,False
3672,2422,John Salmons,John,Salmons,False
3673,1089,Kevin Salvadori,Kevin,Salvadori,False
3674,2066,Soumaila Samake,Soumaila,Samake,False
3675,1629677,Luka Samanic,Luka,Samanic,True
3676,200798,Cheikh Samb,Cheikh,Samb,False
3677,1629102,Brandon Sampson,Brandon,Sampson,False
3678,203960,JaKarr Sampson,JaKarr,Sampson,False
3679,2441,Jamal Sampson,Jamal,Sampson,False
3680,78055,Ralph Sampson,Ralph,Sampson,False
3681,202396,Samardo Samuels,Samardo,Samuels,False
3682,2143,Pepe Sanchez,Pepe,Sanchez,False
3683,78057,Frankie Sanders,Frankie,Sanders,False
3684,1874,Jeff Sanders,Jeff,Sanders,False
3685,202336,Larry Sanders,Larry,Sanders,False
3686,2684,Melvin Sanders,Melvin,Sanders,False
3687,78059,Mike Sanders,Mike,Sanders,False
3688,78060,Thomas Sanders,Thomas,Sanders,False
